Species,Population,Collection,ID,Sex,Age,Location,Latitude,Longitude,Altitude,Collector,Date collected,Photos,Scanned,Cleaned,Landmarked,Species correction,Other notes
stuartii,south,CSIRO,CM966,Male,Juvenile? ,"Caudeaux River, Via Mount Kiera (Kembla) NSW",-34.4,150.8167,376,K. Keith,20/01/1966,ok,ok,ok,ok,,P3 not erupted.
stuartii,south,CSIRO,CM967,Male,Juvenile? ,"Caudeaux River, Via Mount Kiera (Kembla) NSW",-34.4667,150.7833,32,K. Keith,20/01/1966,ok,ok,ok,ok,,P3 not erupted.
stuartii,north,QM,EA2,Female,Adult,"Best of All Lookout, Springbrook NP, SEQ",-28.241,153.265,741,E. Gray,24/07/2014,ok,ok,ok,ok,,
stuartii,north,QM,G13,Male,Adult,Gambubal SF,-28.227,152.409,1002,Baker & Mutton,24/05/2012,ok,ok,ok,ok,,G1#3
stuartii,north,QM,G23,Female,Adult,Gambubal SF,-28.228,152.389,1002,Baker & Mutton,24/05/2012,ok,ok,ok,ok,,G2#3
stuartii,north,QM,G27,Female,Adult,Gambubal SF,-28.228,152.389,1002,Baker & Mutton,24/05/2012,ok,ok,ok,ok,,
stuartii,north,QM,G34,Female,Adult,Gambubal SF,-28.242,152.386,1002,Baker & Mutton,24/05/2012,ok,ok,ok,ok,,G3#4.
stuartii,north,QM,G41,Male,Adult,Gambubal SF,-28.246,152.384,1002,Baker & Mutton,24/05/2012,ok,ok,ok,ok,,G4#1
subtropicus,,QM,J10471,Female,Adult,Mt Glorious,-27.333,152.767,572,E. Williams,13/03/1960,ok,ok,ok,ok,,
subtropicus,,QM,J11098,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,D. Bryce,14/11/1961,ok,ok,ok,ok,,
subtropicus,,QM,J11443,Male,Adult,Mt Glorious SEQ,-27.333,152.767,572,C. Bryce,5/03/1962,ok,ok,ok,ok,,Workshop No. 2362
subtropicus,,QM,J13235,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Rick,8/06/1964,ok,ok,ok,ok,,Q. M. Workshop No. 3144 - Skin mounted and donated to Dr. R. J. Rick
subtropicus,,QM,J13244,Female,Adult,Mt Glorious,-27.333,152.767,572,R. Rick,8/06/1964,ok,ok,ok,ok,,Q. M. Workshop No. 3145
subtropicus,,QM,J15870,Male,Adult,Woodum S. F. Gympie SEQ,-26.25,152.733,78,T. Tebble / J. Covacevich,28/08/1968,ok,ok,ok,ok,,Coll. In net sclerophyll. Field no. 10
subtropicus,,QM,J15888,Female,Adult,Emu Vale. SEQ,-28.233,152.267,563,T. Kirkpatrick,14/02/1968,ok,ok,ok,ok,?,Body in spirit. Q. M. Workshop no 4818
subtropicus,,QM,J16158,Male,Adult,Mt Glorious SEQ,-27.333,152.767,572,C. S. I. R. O.,12/05/1964,ok,ok,ok,ok,,Q. M. Workshop No 3114
subtropicus,,QM,J16458,Male,Adult,Mt Glorious (Parish of Dundas),-27.333,152.767,572,J. Covacevich / T. Tebble,14/06/1968,ok,ok,ok,ok,,Work Shop Nook no 4861
subtropicus,,QM,J16535,Male,Adult,Mt Glorious (rainforest),-27.333,152.767,572,T. Tebble / J. Covacevich,14/06/1968,ok,ok,ok,ok,,Q. M. Workshop No 4863
subtropicus,,QM,J16543,Male,Adult,Mt Glorious SEQ,-27.333,152.767,572,T. Tebble / J. Covacevich,14/06/1968,ok,ok,ok,ok,,template? Q. M. Workshop 4862
subtropicus,,QM,J17400,Male,Adult,Warwick district,-28.217,152.033,467,T. Kirkpatrick,2/07/1969,ok,ok,ok,ok,?,Q. M. Workshop 5140. J. Martin no. 2.
subtropicus,,QM,J17401,Male,Adult,Warwick district,-28.217,152.033,467,T. Kirkpatrick,2/07/1969,ok,ok,ok,ok,?,Q. M. Workshop 5142. JMartin no 4. (D.P.I.)
stuartii,,QM,J17402,Female,Adult,Warwick district,-28.217,152.033,467,T. H. Kirkpatrick,2/07/1969,ok,ok,ok,ok,subtropicus?,Q. M. Workshop 5143. J. M. no. 5.
subtropicus,,QM,J17403,Female,Adult,Warwick district SEQ,-28.217,152.033,467,T. Kirkpatrick,2/07/1969,ok,ok,ok,ok,?,Q. M. Workshop 5144. Jm. No. 6
stuartii,,QM,J17406,Male,Adult,Warwick district,-28.217,152.033,467,T. H. Kirkpatrick,2/07/1969,ok,ok,ok,ok,subtropicus?,Q. M. Workshop 5141. J. Martin no. 3.
subtropicus,,QM,J17407,Male,Adult,Warwick district,-28.217,152.033,467,T. H. Kirkpatrick,2/07/1969,ok,ok,ok,ok,?,holotype specimen. 
subtropicus,,QM,J17410,Male,Adult,Mt Glorious (Parish of Dundas),-27.333,152.767,572,J. Covacevich / T. Tebble,12/06/1968,ok,ok,ok,ok,,Q. M. Workshop 4847
subtropicus,,QM,J20265,Male,Adult,Tallebudgera Ck Burleigh SEQ,-28.1,153.45,6,D. H. Fleay,6/07/1970,ok,ok,ok,ok,?,Q. M. Workshop no 5610
stuartii,,QM,J3716,Male,Adult,Mt Tambourine SEQ,-27.917,153.167,517,T. Burston,6/08/1922,ok,ok,ok,ok,subtropicus? Exclude?,Skin in old collection.
stuartii,?,QM,J3810,Unknown,Adult,Guy Fawkes Dist NSW,-30.4,152.35,1301,"H. Burrell, A. LeSouef",27/04/1922,ok,ok,ok,ok,subtropicus?,Skin in old collection.
stuartii,?,QM,J5030,Male,Adult,Dorrigo N. S. W.,-30.333,152.717,725,H. Burrell,10/03/1930,ok,ok,ok,ok,,
stuartii,north,QM,J7727,Female,Adult,4 mls NE Wallangarra 3500' SQ.,-28.9,151.983,1096,Mus Staff,24/05/1950,ok,ok,ok,ok,subtropicus?,
stuartii,north,QM,J8088,Male,Adult,E of Wyberba S. Q. (Pyramid Ck.),-28.833,151.95,1009,M. E. McAnna,17/07/1951,ok,ok,not suitable,not suitable,subtropicus?,
subtropicus,,QM,JM100,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,24/09/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM108,Male,unknown,presumably Mt. Glorious SEQ,-27.333,152.767,572,presumably R. Braithwaite,00/09/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM11445,Female,Adult,"Mt Glorious, near Forest Station",-27.333,152.767,572,J. Kucers,22/10/1996,ok,ok,ok,ok,,
subtropicus,,QM,JM12,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Braithwaite,25/01/1972,ok,ok,ok,not suitable,,
subtropicus,,QM,JM1221,Male,Adult,Mt Glorious Q,-27.333,152.767,572,T. Hiller,17/11/1975,ok,ok,ok,not suitable,,
subtropicus,,QM,JM134,Female,Adult,Mt Glorious SEQ,-27.333,152.767,572,R. Braithwaite,15/09/1973,ok,ok,ok,ok,,
subtropicus,,QM,JM1420,Male,Adult,Numinbah Arch Nerang Valley SEQ,-28.217,153.233,467,G.B. & S. R. Monteith,25/05/1975 - 13/10/1975,ok,ok,ok,ok,?,Field # 36B/4
subtropicus,,QM,JM14415,Male,Adult,"Numinbah Valley, SEQ",-28.217,153.233,467,Unknown,5/07/2000,ok,ok,ok,ok,?,
subtropicus,,QM,JM14417,Male,Adult,"Natural Bridge, SEQ",-28.233,153.25,741,J. R. Thompson,22/05/2000,ok,ok,ok,ok,?,
subtropicus,,QM,JM14447,Male,Adult,Mt Nebo 27�23'S 152�47'E (calc),-27.383,152.783,457,Whitaker,00/07/2000,ok,ok,ok,ok,,
subtropicus,,QM,JM14448,Male,Adult,Mt Nebo 27�23'S 152�47'E (calc),-27.383,152.783,457,Whitaker,00/07/2000,ok,ok,ok,ok,,
subtropicus,,QM,JM14452,Unknown,Adult,"Casswell Ck, Wonglepong, SEQ",-27.967,153.167,411,J. Everleigh,11/03/2000,ok,ok,ok,ok,?,
subtropicus,,QM,JM145,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/05/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM146,Male,Adult,Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/05/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM149,Male,Adult,"presumably Mt. Glorious 27�20'S, 152�46'E",-27.333,152.767,572,R. Braithwaite,00/05/1971,ok,ok,ok,ok,,
stuartii,north,QM,JM15025,Unknown,Adult,Girraween N. P. SEQ,-28.862,152.032,287,Ian Gynther & Harry Hines,16/04/2002,ok,ok,ok,ok,,N73598
stuartii,north,QM,JM15026,Unknown,Adult,Girraween N. P. SEQ,-28.892,152.433,462,Ian Gynther,17/04/2002,ok,ok,ok,ok,,
subtropicus,,QM,JM151,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM152,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM153,Male,Adult,"presumably Mt. Glorious 27�20'S, 152�46'E",-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,Female?
subtropicus,,QM,JM154,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM15445,Female,Adult,"Mapleton Day Use Area 26�36'20""S / 152�51'17""E",-26.606,152.855,388,T + K Hickman,18/08/2001,ok,ok,ok,ok,,
subtropicus,,QM,JM155,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM156,Female,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM157,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM158,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,00/08/1971,ok,ok,ok,ok,,
subtropicus,,QM,JM1596,Male,Adult,Warrie Nat. Park Q,-28.218,153.296,373,K. McDonald,9/07/1971,ok,ok,ok,ok,?,H8
subtropicus,,QM,JM1597,Male,Adult,Kondalilla Nat. Park Q.,-26.667,152.867,295,D. Grossman,29/05/1975,ok,ok,ok,ok,,H277
subtropicus,,QM,JM1598,Male,Adult,Kondalilla Nat. Park Q.,-26.675,152.875,244,D. Grossman / K. McDonald,28/08/1974,ok,ok,ok,ok,,H246
subtropicus,,QM,JM1600,Male,Adult,Warrie Nat. Park Q,-28.228,153.278,741,K. McDonald,3/05/1971,ok,ok,ok,ok,?,H6 Heathland of Casvarina rigida and Leptospermum sp.
stuartii,,QM,JM1601,Female,Adult,Sunday Creek Q.,-26.733,152.5,624,D. Grossman,18/11/1973,ok,ok,ok,ok,subtropicus?,H193. Lactating.
subtropicus,,QM,JM163,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,A. Hiller,00/06/1972,ok,ok,ok,ok,,
subtropicus,,QM,JM165,Unknown,Adult,unknown,-27.333,152.767,572,A. Hiller,00/06/1972,ok,ok,ok,ok,,
