Species,Population,Collection,ID,Sex,Age,Location,Latitude,Longitude,Altitude,Collector,Date collected,Photos,Scanned,Cleaned,Landmarked,Species correction,Other notes
subtropicus,,QM,JM97,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,,,
subtropicus,,QM,JM99,Male,Adult,Pres. Mt Glorious,-27.333,152.767,572,R. Braithwaite,25/09/1971,ok,ok,ok,,,
stuartii,south,CSIRO,M03541,Male,Adult,"Currambene State Forest, 10 km S of Nowra NSW / Jervis Bay",-34.9833,150.7333,20,I. Mason,26/02/1988,ok,ok,ok,,,
stuartii,south,AM,M10880,Female,Adult,Newnes Plateau NE of Lithgow NSW,-33.367,150.217,746,NA,1/07/1978,ok,ok,ok,not suitable?,,
stuartii,south,AM,M10884,Female,Adult,Newnes Plateau NE of Lithgow NSW,-33.383,150.167,564,NA,1/07/1978,ok,ok,ok,not suitable?,,
stuartii,south,AM,M10967,Female,Adult,"Mt Cameron , NE of Lithgow, NSW",-33.267,150.333,865,NA,28/08/1978,ok,ok,ok,ok,,
stuartii,south,AM,M10973,Female,Adult,"Mt Cameron , NE of Lithgow, NSW",-33.283,150.333,865,NA,28/08/1978,ok,ok,ok,,,P3 partially erupted.
stuartii,north?,AM,M11665,Female,Adult,Billimbra State For. Nr. Grafton NSW,-29.217,152.417,844,NA,5/07/1980,ok,ok,ok,,,Left P3 partially erupted.
stuartii,north?,AM,M11666,Female,Adult,Billimbra State For. Nr. Grafton NSW,-29.217,152.417,844,NA,5/07/1980,ok,ok,ok,,,
subtropicus,,AM,M22782,Male,Adult,"Sheepstation Creek, 40 kms West of Murwillumbah QLD",-28.4,153.017,537,NA,11/08/1990,ok,ok,ok,,?,
subtropicus,,AM,M22784,Female,Adult,"Sheepstation Creek, 40 kms West of Murwillumbah QLD",-28.4,153.017,537,NA,11/08/1990,ok,ok,ok,,?,
subtropicus,,AM,M22785,Female,Adult,"Sheepstation Creek, 40 kms West of Murwillumbah QLD",-28.4,153.017,537,NA,11/08/1990,ok,ok,ok,,?,Says adult but left P3 partially erupted.
stuartii,north,CSIRO,M24203,Female,Subadult,NSW: Gibbergunyah Bd Whian Whian SF Tweed Valley,-28.565,153.3364,524,P C Catling / R Burt,3/05/1995,ok,ok,ok,,,
stuartii,north,CSIRO,M24207,Male,Adult,"NSW: Gibbergunyah Road, Whian Whian State Forest, Tweed Valley",-28.5667,153.3356,524,P C Catling / R Burt,5/05/1995,ok,ok,ok,,,
subtropicus,,AM,M24905,Female,Adult,Mt Nullum NSW,-28.833,153.433,114,NA,15/06/1990,ok,ok,ok,,?,Location not clear
subtropicus,,AM,M29961,Male,Adult,"Rummey Pk, Whian Whian State Forest NSW",-28.633,153.317,172,NA,16/08/1992,ok,ok,ok,ok,?,
stuartii,south,AM,M3174,Male,Adult,"Booloombayt, Myall Lakes. N.S.W.",-32.5,152.3,8,M. Burrell,3/09/1922,ok,ok,ok,,,
stuartii,south,AM,M3179,Male,Adult,"Booloombayt, Myall Lakes. N.S.W.",-32.5,152.3,8,NA,3/09/1922,ok,ok,ok,,,
stuartii,south,AM,M3183,Female,Adult,"Booloombayt, Myall Lakes. N.S.W.",-32.5,152.3,8,NA,4/09/1922,ok,ok,ok,,,
stuartii,south,AM,M5294,Male,Adult,"Waterfall, Royal National Park, S of Sydney, N.S.W.",-34.133,151,149,NA,7/08/1932,ok,ok,ok,,,Neotype
stuartii,south,AM,M6945,Female,Subadult?,Mt. Irvine via Bell N.S.W.,-33.483,150.467,639,NA,23/06/1944,ok,ok,ok,,,P3 partially erupted.
stuartii,south,AM,M6946,Female,Adult,Mt. Irvine via Bell N.S.W.,-33.483,150.467,639,NA,26/06/1944,ok,ok,ok,,,
stuartii,south,AM,M9730,Female,Adult,"Bungwahl, Myall Lakes N.S.W. ",-32.4,152.433,13,NA,2/10/1972,ok,ok,ok,,,
stuartii,north,QM,MR3,Male,Adult,"Main Range NP, Gambubal Section",-28.226,152.427,973,Ian Gynther,10/05/2008,ok,ok,ok,,,N19244.
stuartii,north,QM,MRG3,Male,Adult,"Main Range NP Goomburra 27�58'50""S 152�20'49""E",-27.981,152.347,710,T. Y. Mutton,27/08/2012,ok,ok,ok,,good,710 m Alt.
stuartii,north,QM,MRG4,Male,Adult,"Main Range NP Goomburra 27�58'50""S 152�20'49""E",-27.981,152.347,710,T. Y. Mutton,27/08/2012,ok,ok,ok,ok,good,710 m Alt.
subtropicus,,QM,MW1,Female,Adult,Lot 2 Mulvena Rd Lamook 33 km SW Mt Warning NSW,-28.668,153.101,240,Wes Hall,1/10/2011,ok,ok,ok,,?,
stuartii,north,QM,MWA1,Male,Adult,Main Range National Park,-28.083,152.417,758,Moss Well,NA,ok,ok,ok,,cautious,
stuartii,north,QM,MWA2,Female,Unknown,Main Range National Park,-28.083,152.417,758,Moss Well,_,ok,ok,ok,,cautious,
stuartii,north,QM,N19461,Male,Adult,Gambubal SF,-28.226,152.427,973,Ian Gynther,24/05/2012,ok,ok,ok,,,
subtropicus,,QM,RMT11,Female,Adult,"Woondum NP, SEQ 26�16'55""S 152�49'56""E 457 m el. ",-26.282,152.832,315,T. Mutton,31/08/2014,ok,ok,ok,,,
stuartii,,QM,RT1,Male,Adult,"Nerang - Murwillumbah Rd near Natural Bridge, SEQ",,,,R. Thomson,25/06/2013,ok,ok,ok,,stuartii?,qm or bust - dunno about this one - but you could guestimate based on description
